Event Time (UTC),Analytics Event Type,Latitude,Longitude,GPS Time (UTC),Device OS,Device OS Version,Device Model,Device Language,City Name,Country / Region,App Version
2019-12-23 20:24:01.691,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:00.989,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:01.753,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:00.989,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:01.692,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:00.989,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:45.504,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:44.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:46.386,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:45.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:47.567,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:46.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:47.566,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:46.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:47.569,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:46.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:38.817,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:37.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:38.820,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:37.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:40.383,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:39.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:40.387,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:39.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:41.510,tap,29.627509703887277,-95.40607801647428,2019-12-23 20:23:40.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:42.334,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:41.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:42.340,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:41.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:42.606,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:41.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:42.681,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:41.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:44.162,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:43.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:59.049,impression,29.633333333333333,-95.4,2019-12-23 20:23:58.989,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:23:46.886,impression,29.633333333333333,-95.4,2019-12-23 20:23:45.990,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:23:47.058,impression,29.633333333333333,-95.4,2019-12-23 20:23:46.990,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:24:44.051,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:42.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:49.954,tap,29.627509703887277,-95.40607801647428,2019-12-23 20:24:48.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:49.181,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:48.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:54.659,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:53.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:52.780,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:51.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:54.698,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:53.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:54.661,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:53.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:54.660,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:53.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:54.665,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:53.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:54.699,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:53.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:54.663,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:53.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:31.438,impression,29.633333333333333,-95.4,2019-12-23 20:23:30.990,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:24:54.691,impression,29.633333333333333,-95.4,2019-12-23 20:24:53.999,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:24:54.691,impression,29.633333333333333,-95.4,2019-12-23 20:24:53.999,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:24:57.670,impression,29.633333333333333,-95.4,2019-12-23 20:24:56.999,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:24:54.691,impression,29.633333333333333,-95.4,2019-12-23 20:24:53.999,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:24:55.302,impression,29.633333333333333,-95.4,2019-12-23 20:24:54.999,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:24:57.525,impression,29.633333333333333,-95.4,2019-12-23 20:24:56.999,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:24:57.698,impression,29.633333333333333,-95.41666666666667,2019-12-23 20:24:56.999,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:23:33.343,impression,29.633333333333333,-95.4,2019-12-23 20:23:32.990,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:23:33.321,impression,29.633333333333333,-95.4,2019-12-23 20:23:32.990,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:23:54.848,custom,29.633333333333333,-95.4,2019-12-23 20:23:53.990,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:23:58.119,custom,29.633333333333333,-95.4,2019-12-23 20:23:56.990,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:23:58.251,impression,29.633333333333333,-95.4,2019-12-23 20:23:56.990,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:23:58.119,impression,29.633333333333333,-95.4,2019-12-23 20:23:56.990,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:23:58.119,impression,29.633333333333333,-95.4,2019-12-23 20:23:56.990,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:24:23.427,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:22.998,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:22.321,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:21.998,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:23.428,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:22.998,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:22.881,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:21.998,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:23.432,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:22.998,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
